Закон Oма;I=U/R,*U=R*I,*R=U/I;Сила тока на участке цепи прямо пропорционально напряжению и обратно пропорциональна сопротивлению.;A,B,Oм
Количество теплоты при парообразовании;Q=L*m,*L=Q/m,*m=Q/L;Q — необходимое количество теплоты, L — удельная теплота парообразования (см. таблицу), m — масса жидкости, находящейся при температуре кипения.;Дж,Дж/кг,г
Ускорение; a=(V2-V1)/t,*t=(V2-V1)/a,*V2=t*a+V1,*V1=V2-t*a;Ускорение (обычно обозначается латинскими буквами a  — физическая величина, определяющая быстроту изменения скорости тела, то есть первая производная от скорости по времени.;м/c^2,с,м/с,м/с
